Month,Average,Gain,% Gain,Peak
Jan-21,42.0K,"-25,759",-38%,269K
Dec-20,67.7K,"-39,400",-36.80%,499K
Nov-20,107K,"-40,281",-27.30%,774K
20-Oct,3.0K,-450,-12.90%,9.1K
20-Sep,3.5K,"2,985",598%,12.4K
20-Aug,499,445,824%,3.0K
20-Jul,54,40,286%,221
20-Jun,14,1,7.70%,61
20-May,13,5,62.50%,42
20-Apr,8,3,60%,36
20-Mar,5,1,25%,22
20-Feb,4,2,100%,17
20-Jan,2,1,100%,11
19-Dec,1,-,-,5
19-Nov,1,-1,-50%,7
19-Oct,2,-,-,8
19-Sep,2,-1,-33.30%,12
19-Aug,3,1,50%,13
19-Jul,2,1,100%,11
19-Jun,1,-,-,4
19-May,1,-,-,3
19-Apr,1,-,-,3
19-Mar,1,-,-,3
19-Feb,1,-,-,1
19-Jan,1,-,-,2
18-Dec,1,-,-,1
18-Nov,1,-,-,3
