Month,Average,Gain,% Gain,Peak
Jan-21,108K,"19,378",21.90%,424K
Dec-20,88.5K,"18,673",26.80%,345K
Nov-20,69.8K,"-32,650",-31.90%,247K
20-Oct,102K,-462,-0.50%,403K
20-Sep,103K,"-10,619",-9.40%,364K
20-Aug,113K,"-4,921",-4.20%,947K
20-Jul,118K,"-2,347",-1.90%,359K
20-Jun,121K,"-2,486",-2%,403K
20-May,123K,"11,598",10.40%,354K
20-Apr,111K,"-18,165",-14%,396K
20-Mar,130K,"116,659",902%,521K
20-Feb,12.9K,804,6.60%,74.8K
20-Jan,12.1K,"-11,671",-49%,85.7K
19-Dec,23.8K,"-13,947",-36.90%,116K
19-Nov,37.7K,"6,617",21.30%,140K
19-Oct,31.1K,"14,208",84%,373K
19-Sep,16.9K,"12,688",300%,293K
19-Aug,4.2K,"3,501",478%,387K
19-Jul,733,727,+12.1K%,134K
19-Jun,6,-122,-95.30%,1.1K
19-May,128,-,-,7.4K
