Month,Average,Gain,% Gain,Peak
Jan-21,79.3K,"-2,155",-2.60%,593K
Dec-20,81.5K,"-3,063",-3.60%,390K
Nov-20,84.5K,"5,858",7.40%,552K
20-Oct,77.5K,"3,168",4.30%,439K
20-Sep,74.4K,"9,608",14.80%,311K
20-Aug,64.8K,"8,333",14.80%,324K
20-Jul,56.4K,"-49,119",-46.50%,198K
20-Jun,106K,"2,100",2%,500K
20-May,103K,"-17,200",-14.30%,377K
20-Apr,121K,"30,655",34.10%,570K
20-Mar,90.0K,"18,359",25.60%,829K
20-Feb,71.6K,"26,105",57.30%,615K
20-Jan,45.5K,"-8,848",-16.30%,257K
19-Dec,54.4K,"4,869",9.80%,344K
19-Nov,49.5K,"-10,847",-18%,299K
19-Oct,60.4K,"-3,448",-5.40%,382K
19-Sep,63.8K,"1,782",2.90%,660K
19-Aug,62.0K,"7,283",13.30%,518K
19-Jul,54.7K,"12,789",30.50%,434K
19-Jun,41.9K,"2,003",5%,350K
19-May,39.9K,"-2,804",-6.60%,233K
19-Apr,42.7K,"-4,967",-10.40%,311K
19-Mar,47.7K,"-22,767",-32.30%,832K
19-Feb,70.5K,"29,152",70.50%,515K
19-Jan,41.3K,"6,994",20.40%,195K
18-Dec,34.3K,"-3,349",-8.90%,273K
18-Nov,37.7K,"5,213",16.10%,298K
18-Oct,32.5K,"-65,796",-67%,220K
18-Sep,98.3K,"69,138",237%,867K
18-Aug,29.1K,"-6,891",-19.10%,187K
18-Jul,36.0K,"5,575",18.30%,237K
18-Jun,30.4K,"-5,078",-14.30%,279K
18-May,35.5K,"3,605",11.30%,225K
18-Apr,31.9K,"-5,855",-15.50%,335K
18-Mar,37.8K,"-17,761",-32%,504K
18-Feb,55.5K,"-37,942",-40.60%,373K
18-Jan,93.5K,"68,298",271%,1.30M
17-Dec,25.2K,"-10,653",-29.70%,229K
17-Nov,35.8K,"-2,372",-6.20%,281K
17-Oct,38.2K,294,0.80%,575K
17-Sep,37.9K,"10,750",39.60%,288K
17-Aug,27.2K,"-64,282",-70.30%,207K
17-Jul,91.4K,"61,128",202%,947K
17-Jun,30.3K,"-1,478",-4.60%,275K
17-May,31.8K,"-19,046",-37.50%,195K
17-Apr,50.8K,"1,263",2.50%,417K
17-Mar,49.6K,"-10,568",-17.60%,507K
17-Feb,60.1K,"-37,216",-38.20%,461K
17-Jan,97.4K,"56,267",137%,1.15M
16-Dec,41.1K,-,-,237K
