Game,Month,Hours Watched,Average Viewers,Average Concurrent Streams,Peak Concurrent Streams,Peak Viewers 
Among Us,1/1/21,27.1M,42.0K,895,2.4K,269K
Among Us,12/1/20,50.3M,67.7K,1.2K,3.3K,499K
Among Us,11/1/20,77.0M,107K,1.8K,5.3K,774K
Among Us,10/1/20,83.4M,3.0K,151K,754K,9.1K
Among Us,9/1/20,147M,3.5K,204K,743K,12.4K
Among Us,8/1/20,30.6M,499,41.1K,267K,3.0K
Among Us,7/1/20,4.16M,54,5.6K,88.3K,221
Among Us,6/1/20,120K,14,171,7.0K,61
Among Us,5/1/20,322K,13,451,27.5K,42
Among Us,4/1/20,106K,8,160,3.8K,36
Among Us,3/1/20,73.8K,5,118,16.7K,22
Among Us,2/1/20,45.9K,4,84,2.4K,17
Among Us,1/1/20,33.9K,2,78,2.8K,11
Among Us,12/1/19,8.2K,1,29,1.2K,5
Among Us,11/1/19,6.6K,1,24,2.1K,7
Among Us,10/1/19,6.4K,2,15,523,8
Among Us,9/1/19,26.7K,2,47,6.0K,12
Among Us,8/1/19,57.9K,3,122,26.4K,13
Among Us,7/1/19,15.2K,2,32,2.0K,11
Among Us,6/1/19,1.2K,1,9,259,4
Among Us,5/1/19,81,1,1,11,3
Among Us,4/1/19,177,1,3,68,3
Among Us,3/1/19,49,1,1,7,3
Among Us,2/1/19,3,1,1,3,1
Among Us,1/1/19,2.9K,1,308,4.4K,2
Among Us,12/1/18,1.9K,1,66,455,1
Among Us,11/1/18,9.3K,1,1.6K,7.4K,3
Call of Duty ,1/1/21,69.8M,108K,4.3K,8.7K,424K
Call of Duty ,12/1/20,65.7M,88.5K,3.3K,8.0K,345K
Call of Duty ,11/1/20,50.2M,69.8K,5.7K,17.8K,247K
Call of Duty ,10/1/20,56.4M,102K,8.7K,22.1K,403K
Call of Duty ,9/1/20,73.8M,103K,8.9K,17.4K,364K
Call of Duty ,8/1/20,84.2M,113K,9.1K,32.0K,947K
Call of Duty ,7/1/20,87.8M,118K,8.7K,16.6K,359K
Call of Duty ,6/1/20,86.5M,121K,7.5K,13.9K,403K
Call of Duty ,5/1/20,91.2M,123K,7.9K,14.8K,354K
Call of Duty ,4/1/20,79.7M,111K,7.7K,13.2K,396K
Call of Duty ,3/1/20,96.2M,130K,5.7K,13.9K,521K
Call of Duty ,2/1/20,8.98M,12.9K,1.4K,3.5K,74.8K
Call of Duty ,1/1/20,9.02M,12.1K,1.1K,2.5K,85.7K
Call of Duty ,12/1/19,17.7M,23.8K,1.3K,2.8K,116K
Call of Duty ,11/1/19,26.1M,37.7K,2.0K,4.8K,140K
Call of Duty ,10/1/19,21.9M,31.1K,1.0K,13.3K,373K
Call of Duty ,9/1/19,12.2M,16.9K,604,7.3K,293K
Call of Duty ,8/1/19,2.83M,4.2K,80,1.8K,387K
Call of Duty ,7/1/19,174K,733,1,101,134K
Call of Duty ,6/1/19,1.5K,6,1,6,1.1K
Call of Duty ,5/1/19,8.1K,128,3,78,7.4K
Counter Strike Global Offensive,1/1/21,51.3M,79.3K,2.2K,4.6K,593K
Counter Strike Global Offensive,12/1/20,60.5M,81.5K,1.9K,4.0K,390K
Counter Strike Global Offensive,11/1/20,60.8M,84.5K,1.8K,3.5K,552K
Counter Strike Global Offensive,10/1/20,42.8M,77.5K,1.5K,2.8K,439K
Counter Strike Global Offensive,9/1/20,53.5M,74.4K,1.4K,2.6K,311K
Counter Strike Global Offensive,8/1/20,48.1M,64.8K,1.4K,2.5K,324K
Counter Strike Global Offensive,7/1/20,41.9M,56.4K,1.6K,3.1K,198K
Counter Strike Global Offensive,6/1/20,75.8M,106K,1.9K,4.2K,500K
Counter Strike Global Offensive,5/1/20,76.7M,103K,2.4K,4.8K,377K
Counter Strike Global Offensive,4/1/20,86.4M,121K,2.8K,5.6K,570K
Counter Strike Global Offensive,3/1/20,66.8M,90.0K,2.0K,4.7K,829K
Counter Strike Global Offensive,2/1/20,49.8M,71.6K,1.6K,3.2K,615K
Counter Strike Global Offensive,1/1/20,33.9M,45.5K,1.6K,3.4K,257K
Counter Strike Global Offensive,12/1/19,40.4M,54.4K,1.3K,2.7K,344K
Counter Strike Global Offensive,11/1/19,34.5M,49.5K,1.2K,2.5K,299K
Counter Strike Global Offensive,10/1/19,43.2M,60.4K,1.3K,2.6K,382K
Counter Strike Global Offensive,9/1/19,45.9M,63.8K,1.3K,2.4K,660K
Counter Strike Global Offensive,8/1/19,46.1M,62.0K,1.3K,2.3K,518K
Counter Strike Global Offensive,7/1/19,40.7M,54.7K,1.2K,2.2K,434K
Counter Strike Global Offensive,6/1/19,30.2M,41.9K,1.2K,2.1K,350K
Counter Strike Global Offensive,5/1/19,29.7M,39.9K,1.2K,2.3K,233K
Counter Strike Global Offensive,4/1/19,30.8M,42.7K,1.2K,2.3K,311K
Counter Strike Global Offensive,3/1/19,35.5M,47.7K,1.2K,2.5K,832K
Counter Strike Global Offensive,2/1/19,47.4M,70.5K,1.1K,2.6K,515K
Counter Strike Global Offensive,1/1/19,30.7M,41.3K,1.4K,2.9K,195K
Counter Strike Global Offensive,12/1/18,25.5M,34.3K,1.2K,3.2K,273K
