Month,Value,Gain,% Gain
Jan-21,145M,+48.7M,50.60%
Dec-20,96.2M,-24.8M,-20.50%
Nov-20,121M,-50.7M,-29.50%
20-Oct,125M,-10.4M,-7.70%
20-Sep,135M,-7.58M,-5.30%
20-Aug,142M,+7.25M,5.40%
20-Jul,135M,-7.69M,-5.40%
20-Jun,143M,+15.7M,12.40%
20-May,127M,-8.03M,-5.90%
20-Apr,135M,+11.8M,9.60%
20-Mar,123M,+2.03M,1.70%
20-Feb,121M,+21.7M,21.70%
20-Jan,99.7M,+21.2M,27%
19-Dec,78.5M,-13.3M,-14.40%
19-Nov,91.8M,-29.3M,-24.20%
19-Oct,121M,+43.6M,56.20%
19-Sep,77.6M,-8.53M,-9.90%
19-Aug,86.1M,+17.9M,26.20%
19-Jul,68.2M,-20.9M,-23.50%
19-Jun,89.1M,-13.6M,-13.30%
19-May,103M,+10.3M,11.20%
19-Apr,92.4M,-15.9M,-14.70%
19-Mar,108M,+13.4M,14.10%
19-Feb,95.0M,-4.03M,-4.10%
19-Jan,99.1M,+27.0M,37.50%
18-Dec,72.0M,-12.4M,-14.70%
18-Nov,84.5M,-24.4M,-22.40%
18-Oct,109M,+32.4M,42.40%
18-Sep,76.5M,-4.75M,-5.80%
18-Aug,81.2M,+6.29M,8.40%
18-Jul,74.9M,+2.50M,3.50%
18-Jun,72.4M,-9.57M,-11.70%
18-May,82.0M,+7.89M,10.60%
18-Apr,74.1M,-14.7M,-16.50%
18-Mar,88.8M,+7.83M,9.70%
18-Feb,81.0M,-8.03M,-9%
18-Jan,89.0M,+19.4M,28%
17-Dec,69.6M,-13.3M,-16%
17-Nov,82.8M,-11.8M,-12.40%
17-Oct,94.6M,+20.2M,27.20%
17-Sep,74.4M,+2.53M,3.50%
17-Aug,71.8M,-12.7M,-15.10%
17-Jul,84.6M,277,-
17-Jun,84.6M,-2.02M,-2.30%
17-May,86.6M,+4.13M,5%
17-Apr,82.5M,-8.31M,-9.20%
17-Mar,90.8M,-8.53M,-8.60%
17-Feb,99.3M,+208K,0.20%
17-Jan,99.1M,+18.1M,22.30%
16-Dec,81.0M,-,-
