Game,Month,Hours Watched,Hours Gained,% Hour Gained,Average Viewers, Viewers Gained,% Viewers Gained,Peak Concurrent Viewers ,Average Concurrent Streams,Concurrent Streams Gain,% Concurrent Streans Gain,Peak Concurrent Streams
Among Us,01/01/21,27.1M,-23.2M,-46.10%,42.0K,"-25,759",-38%,269K,895,-312,-25.80%,2.4K
Among Us,12/01/20,50.3M,-26.7M,-34.70%,67.7K,"-39,400",-36.80%,499K,1.2K,-641,-34.70%,3.3K
Among Us,11/01/20,77.0M,-32.6M,-29.70%,107K,"-40,281",-27.30%,774K,1.8K,"-1,058",-36.40%,5.3K
Among Us,10/01/20,83.4M,-63.5M,-43.20%,3.0K,-450,-12.90%,9.1K,151K,"-53,045",-26%,754K
Among Us,09/01/20,147M,+116M,380%,3.5K,"2,985",598%,12.4K,204K,"162,989",396%,743K
Among Us,08/01/20,30.6M,+26.4M,634%,499,445,824%,3.0K,41.1K,"35,502",629%,267K
Among Us,07/01/20,4.16M,+4.04M,+3.4K%,54,40,286%,221,5.6K,"5,473",3.2K%,88.3K
Among Us,06/01/20,120K,-202K,-62.70%,14,1,7.70%,61,171,-280,-62.10%,7.0K
Among Us,05/01/20,322K,+216K,204%,13,5,62.50%,42,451,291,182%,27.5K
Among Us,04/01/20,106K,+32.1K,43.60%,8,3,60%,36,160,42,35.60%,3.8K
Among Us,03/01/20,73.8K,+27.8K,60.60%,5,1,25%,22,118,34,40.50%,16.7K
Among Us,02/01/20,45.9K,+12.1K,35.70%,4,2,100%,17,84,6,7.70%,2.4K
Among Us,01/01/20,33.9K,+25.6K,311%,2,1,100%,11,78,49,169%,2.8K
Among Us,12/01/19,8.2K,+1.6K,25%,1,-,-,5,29,5,20.80%,1.2K
Among Us,11/01/19,6.6K,227,3.60%,1,-1,-50%,7,24,9,60%,2.1K
Among Us,10/01/19,6.4K,-20.3K,-76.10%,2,-,-,8,15,-32,-68.10%,523
Among Us,09/01/19,26.7K,-31.2K,-53.90%,2,-1,-33.30%,12,47,-75,-61.50%,6.0K
Among Us,08/01/19,57.9K,+42.7K,280%,3,1,50%,13,122,90,281%,26.4K
Among Us,07/01/19,15.2K,+14.0K,+1.2K%,2,1,100%,11,32,23,256%,2.0K
Among Us,06/01/19,1.2K,+1.1K,+1.4K%,1,-,-,4,9,8,800%,259
Among Us,05/01/19,81,-96,-54.20%,1,-,-,3,1,-2,-66.70%,11
Among Us,04/01/19,177,128,261%,1,-,-,3,3,2,200%,68
Among Us,03/01/19,49,46,+1.5K%,1,-,-,3,1,-,-,7
Among Us,02/01/19,3,-2.9K,-99.90%,1,-,-,1,1,-307,-99.70%,3
