,streamer_handle,avg_viewers,time_streamed(hr),peak_viewers,hours_watched,rank,followers_gained(thou),total_followers,total_views(mil)
0,tommyinnit,256800,23.5,650237,6026250,1,796301,3420936,31248801
1,auronplay,168547,83.4,313347,14056783,2,732256,7177886,100296217
2,QuackityHQ,122926,30,232299,3687788,5,531103,2258810,13873969
3,karljacobs,110698,21.7,206847,2400306,9,306022,1451026,9249417
4,GeorgeNotFound,93375,13.1,140629,1218549,13,329014,2249633,8452647
5,Rubius,89529,84.7,344676,7580098,8,484614,8062966,136116803
6,BLASTPremier,88628,55.3,208744,4896707,10,114755,788302,61795246
7,ibai,84508,114.9,533239,9707099,6,590122,4955236,140846760
8,TheGrefg,78109,169.7,2470347,13256476,4,1095118,6569930,107981887
9,xQcOW,76890,326.8,222720,25128843,3,1773138,7519357,266566406
11,LEC,72274,48.4,400312,3498053,15,82174,1186409,92782468
12,LCK_Korea,70379,88.1,365983,6201562,11,57960,819993,219212914
13,WilburSoot,66810,15.2,215211,1016631,25,284806,2058488,9380740
14,LCK,61207,83.1,212049,5084232,17,83858,1059410,100165016
15,winstrike_tv,61037,51.9,235473,3164793,21,80344,337215,21965351
16,Tubbo,60521,91.4,203070,5532591,16,602846,2223517,24181005
17,LCS,58548,73.7,400429,4314954,19,98125,1355875,114749366
18,shroud,55749,164,516289,9140973,12,203583,8888150,433704991
19,GamesDoneQuick,55241,249.5,247432,13782632,7,71000,1819292,348371782
20,RiotGamesBrazil,51173,49.4,264955,2527953,31,63187,1156948,188284657
