Month,Average,Gain,% Gain,Peak
Jan-21,9.8K,58,0.60%,19.4K
Dec-20,9.7K,"1,158",13.50%,133K
Nov-20,8.6K,798,10.30%,25.2K
20-Oct,7.6K,"-1,134",-13.00%,14.6K
1-Sep,8.7K,"-1,999",-18.70%,17.2K
1-Aug,10.7K,"-1,258",-10.50%,21.9K
1-Jul,12.0K,"-1,487",-11.10%,21.1K
1-Jun,13.4K,-322,-2%,118K
1-May,13.8K,"3,484",33.90%,40.2K
1-Apr,10.3K,"3,895",61.00%,58.4K
1-Mar,6.4K,670,11.70%,13.0K
1-Feb,5.7K,-197,-3.30%,11.9K
1-Jan,5.9K,727,14.00%,11.3K
1-Dec,5.2K,281,6%,35.6K
1-Nov,4.9K,-390,-7.40%,10.3K
19-Oct,5.3K,406,8.30%,43.2K
19-Sep,4.9K,"-2,417",-33.10%,9.6K
19-Aug,7.3K,-362,-4.70%,14.9K
19-Jul,7.7K,-378,-4.70%,47.3K
19-Jun,8.0K,"-1,091",-11.90%,15.4K
19-May,9.1K,"-1,325",-12.70%,55.4K
19-Apr,10.5K,-796,-7.10%,22.0K
19-Mar,11.3K,494,4.60%,23.5K
19-Feb,10.8K,"-2,950",-21.50%,66.6K
19-Jan,13.7K,"1,612",13.30%,56.8K
18-Dec,12.1K,"2,671",28.30%,22.5K
18-Nov,9.4K,508,5.70%,37.0K
18-Oct,8.9K,"-1,361",-13.20%,21.2K
18-Sep,10.3K,-696,-6.30%,20.1K
18-Aug,11.0K,83,0.80%,17.4K
18-Jul,10.9K,"1,458",15.40%,19.5K
18-Jun,9.4K,-837,-8.10%,23.8K
18-May,10.3K,110,1.10%,18.1K
18-Apr,10.2K,"2,017",24.70%,18.2K
18-Mar,8.2K,"3,024",59%,17.2K
18-Feb,5.1K,"1,947",61.20%,10.5K
18-Jan,3.2K,"1,154",57%,6.4K
17-Dec,2.0K,649,47.20%,3.9K
17-Nov,1.4K,56,4.20%,2.6K
17-Oct,1.3K,"1,028",352%,2.3K
17-Sep,292,98,50.50%,2.1K
17-Aug,194,-310,-61.50%,698
17-Jul,504,-,-,1.3K
