Month,Average,Gain,% Gain,Peak
Jan-21,133K,"-12,620",-8.60%,1000K
Dec-20,146K,"30,660",26.60%,1.59M
Nov-20,115K,176,0.20%,498K
20-Oct,111K,"3,470",3.20%,355K
20-Sep,108K,"-24,884",-18.70%,271K
20-Aug,133K,"-8,834",-6.20%,499K
20-Jul,142K,"-13,479",-8.70%,327K
20-Jun,155K,"-9,969",-6%,2.28M
20-May,165K,"29,538",21.80%,625K
20-Apr,136K,"46,532",52.20%,1.27M
20-Mar,89.1K,"9,427",11.80%,289K
20-Feb,79.7K,"7,336",10.10%,276K
20-Jan,72.3K,"-14,026",-16.20%,619K
19-Dec,86.4K,"4,900",6%,943K
19-Nov,81.5K,"-24,536",-23.10%,414K
19-Oct,106K,"22,077",26.30%,1.69M
19-Sep,83.9K,"-35,687",-29.80%,335K
19-Aug,120K,"-2,092",-1.70%,335K
19-Jul,122K,"-7,133",-5.50%,1.29M
19-Jun,129K,"-15,171",-10.50%,494K
19-May,144K,"4,582",3.30%,642K
19-Apr,139K,"3,197",2.30%,474K
19-Mar,136K,"11,243",9%,429K
19-Feb,125K,"-45,151",-26.50%,682K
19-Jan,170K,"11,661",7.40%,762K
18-Dec,158K,"5,579",3.60%,419K
18-Nov,153K,"2,278",1.50%,1.06M
18-Oct,151K,"3,136",2.10%,582K
18-Sep,147K,"-29,406",-16.60%,729K
18-Aug,177K,"-28,371",-13.80%,698K
18-Jul,205K,"28,969",16.40%,835K
18-Jun,176K,"-17,990",-9.30%,1.50M
18-May,194K,"15,545",8.70%,581K
18-Apr,179K,"19,375",12.20%,687K
18-Mar,159K,"61,757",63.30%,840K
18-Feb,97.6K,"35,966",58.40%,264K
18-Jan,61.6K,"17,819",40.70%,194K
17-Dec,43.8K,"11,314",34.80%,127K
17-Nov,32.5K,"10,764",49.50%,154K
17-Oct,21.7K,"15,218",233%,79.2K
17-Sep,6.5K,"4,669",252%,78.4K
17-Aug,1.9K,"-10,275",-84.70%,14.6K
17-Jul,12.1K,-,-,76.1K
