Month,Average,Gain,% Gain,Peak
Jan-21,895,-312,-25.80%,2.4K
Dec-20,1.2K,-641,-34.70%,3.3K
Nov-20,1.8K,"-1,058",-36.40%,5.3K
20-Oct,151K,"-53,045",-26%,754K
20-Sep,204K,"162,989",396%,743K
20-Aug,41.1K,"35,502",629%,267K
20-Jul,5.6K,"5,473",3.2K%,88.3K
20-Jun,171,-280,-62.10%,7.0K
20-May,451,291,182%,27.5K
20-Apr,160,42,35.60%,3.8K
20-Mar,118,34,40.50%,16.7K
20-Feb,84,6,7.70%,2.4K
20-Jan,78,49,169%,2.8K
19-Dec,29,5,20.80%,1.2K
19-Nov,24,9,60%,2.1K
19-Oct,15,-32,-68.10%,523
19-Sep,47,-75,-61.50%,6.0K
19-Aug,122,90,281%,26.4K
19-Jul,32,23,256%,2.0K
19-Jun,9,8,800%,259
19-May,1,-2,-66.70%,11
19-Apr,3,2,200%,68
19-Mar,1,-,-,7
19-Feb,1,-307,-99.70%,3
19-Jan,308,242,367%,4.4K
18-Dec,66,"-1,487",-95.80%,455
18-Nov,1.6K,-,-,7.4K
