Month,Value,Gain,% Gain
Jan-21,27.1M,-23.2M,-46.10%
Dec-20,50.3M,-26.7M,-34.70%
Nov-20,77.0M,-32.6M,-29.70%
20-Oct,83.4M,-63.5M,-43.20%
20-Sep,147M,+116M,380%
20-Aug,30.6M,+26.4M,634%
20-Jul,4.16M,+4.04M,+3.4K%
20-Jun,120K,-202K,-62.70%
20-May,322K,+216K,204%
20-Apr,106K,+32.1K,43.60%
20-Mar,73.8K,+27.8K,60.60%
20-Feb,45.9K,+12.1K,35.70%
20-Jan,33.9K,+25.6K,311%
19-Dec,8.2K,+1.6K,25%
19-Nov,6.6K,227,3.60%
19-Oct,6.4K,-20.3K,-76.10%
19-Sep,26.7K,-31.2K,-53.90%
19-Aug,57.9K,+42.7K,280%
19-Jul,15.2K,+14.0K,+1.2K%
19-Jun,1.2K,+1.1K,+1.4K%
19-May,81,-96,-54.20%
19-Apr,177,128,261%
19-Mar,49,46,+1.5K%
19-Feb,3,-2.9K,-99.90%
19-Jan,2.9K,967,50.70%
18-Dec,1.9K,-7.4K,-79.50%
18-Nov,9.3K,-,-
