Month,Average,Gain,% Gain,Peak
Jan-21,4.3K,"1,025",31%,8.7K
Dec-20,3.3K,"-2,428",-42.40%,8.0K
Nov-20,5.7K,"-3,211",-35.90%,17.8K
20-Oct,8.7K,-230,-2.60%,22.1K
20-Sep,8.9K,-189,-2.10%,17.4K
20-Aug,9.1K,377,4.30%,32.0K
20-Jul,8.7K,"1,170",15.50%,16.6K
20-Jun,7.5K,-345,-4.40%,13.9K
20-May,7.9K,181,2.40%,14.8K
20-Apr,7.7K,"1,947",33.90%,13.2K
20-Mar,5.7K,"4,364",316%,13.9K
20-Feb,1.4K,271,24.40%,3.5K
20-Jan,1.1K,-200,-15.30%,2.5K
19-Dec,1.3K,-661,-33.60%,2.8K
19-Nov,2.0K,928,89.10%,4.8K
19-Oct,1.0K,438,72.50%,13.3K
19-Sep,604,524,655%,7.3K
19-Aug,80,79,+7.9K%,1.8K
19-Jul,1,-,-,101
19-Jun,1,-2,-66.70%,6
19-May,3,-,-,78
