Month,Average,Gain,% Gain,Peak
Jan-21,2.2K,290,15.10%,4.6K
Dec-20,1.9K,113,6.30%,4.0K
Nov-20,1.8K,273,17.80%,3.5K
20-Oct,1.5K,54,3.80%,2.8K
20-Sep,1.4K,-9,-0.60%,2.6K
20-Aug,1.4K,-159,-9.90%,2.5K
20-Jul,1.6K,-351,-18%,3.1K
20-Jun,1.9K,-449,-18.70%,4.2K
20-May,2.4K,-354,-12.90%,4.8K
20-Apr,2.8K,719,35.40%,5.6K
20-Mar,2.0K,400,24.50%,4.7K
20-Feb,1.6K,-4,-0.20%,3.2K
20-Jan,1.6K,321,24.40%,3.4K
19-Dec,1.3K,78,6.30%,2.7K
19-Nov,1.2K,-18,-1.40%,2.5K
19-Oct,1.3K,-14,-1.10%,2.6K
19-Sep,1.3K,-40,-3.10%,2.4K
19-Aug,1.3K,82,6.70%,2.3K
19-Jul,1.2K,58,5%,2.2K
19-Jun,1.2K,14,1.20%,2.1K
19-May,1.2K,-18,-1.50%,2.3K
19-Apr,1.2K,-55,-4.50%,2.3K
19-Mar,1.2K,120,10.80%,2.5K
19-Feb,1.1K,-304,-21.50%,2.6K
19-Jan,1.4K,239,20.40%,2.9K
18-Dec,1.2K,163,16.10%,3.2K
18-Nov,1.0K,44,4.60%,2.0K
18-Oct,967,-10,-1%,1.9K
18-Sep,977,-45,-4.40%,1.9K
18-Aug,1.0K,88,9.40%,1.9K
18-Jul,934,100,12%,1.7K
18-Jun,834,11,1.30%,1.6K
18-May,823,-97,-10.50%,1.6K
18-Apr,920,-142,-13.40%,1.9K
18-Mar,1.1K,-96,-8.30%,2.3K
18-Feb,1.2K,104,9.90%,2.3K
18-Jan,1.1K,177,20.20%,2.0K
17-Dec,877,79,9.90%,1.7K
17-Nov,798,1,0.10%,1.6K
17-Oct,797,23,3%,1.6K
17-Sep,774,-90,-10.40%,1.5K
17-Aug,864,24,2.90%,1.6K
17-Jul,840,52,6.60%,1.6K
17-Jun,788,-45,-5.40%,1.5K
17-May,833,-43,-4.90%,1.7K
17-Apr,876,-68,-7.20%,1.8K
17-Mar,944,-65,-6.40%,2.1K
17-Feb,1.0K,72,7.70%,2.1K
17-Jan,937,137,17.10%,2.2K
16-Dec,800,-,-,1.7K
