Month,Value,Gain,% Gain
Jan-21,86.3M,-22.2M,-20.40%
Dec-20,108M,+25.5M,30.70%
Nov-20,83.0M,-2.69M,-3.10%
1-Oct,61.5M,-16.2M,-20.80%
1-Sep,77.7M,-21.1M,-21.30%
1-Aug,98.8M,-6.52M,-6.20%
1-Jul,105M,-6.15M,-5.50%
1-Jun,111M,-11.0M,-9%
1-May,122M,+25.3M,26.10%
1-Apr,97.1M,+30.9M,46.80%
1-Mar,66.2M,+10.8M,19.60%
1-Feb,55.3M,+1.52M,2.80%
1-Jan,53.8M,-10.3M,-16.10%
1-Dec,64.1M,+7.55M,13%
1-Nov,56.6M,-18.7M,-24.80%
19-Oct,75.3M,+14.9M,24.60%
19-Sep,60.4M,-28.6M,-32.10%
19-Aug,89.0M,-1.52M,-1.70%
19-Jul,90.5M,-2.25M,-2.40%
19-Jun,92.8M,-14.3M,-13.40%
19-May,107M,+6.69M,6.70%
19-Apr,100M,-897K,-0.90%
19-Mar,101M,+17.3M,20.60%
19-Feb,84.0M,-42.6M,-33.60%
19-Jan,127M,+8.68M,7.40%
18-Dec,118M,+7.82M,7.10%
18-Nov,110M,-1.73M,-1.50%
18-Oct,112M,+5.69M,5.40%
18-Sep,106M,-25.3M,-19.30%
18-Aug,131M,-19.3M,-12.80%
18-Jul,151M,+23.8M,18.80%
18-Jun,127M,-17.6M,-12.20%
18-May,144M,+16.1M,12.50%
18-Apr,128M,+9.84M,8.30%
18-Mar,119M,+53.2M,81.30%
18-Feb,65.4M,+19.5M,42.60%
18-Jan,45.8M,+13.3M,40.70%
17-Dec,32.6M,+9.21M,39.40%
17-Nov,23.4M,-499K,-2.10%
17-Oct,23.9M,+16.8M,239%
17-Sep,7.04M,+4.97M,241%
17-Aug,2.07M,-3.60M,-63.50%
17-Jul,5.67M,-,-
