Month,Average,Gain,% Gain,Peak
Jan-21,5.8K,"1,380",31.10%,11.6K
Dec-20,4.4K,-286,-6.10%,8.0K
Nov-20,4.7K,190,4.20%,8.9K
20-Oct,4.5K,58,1.30%,8.5K
20-Sep,4.4K,40,0.90%,6.8K
20-Aug,4.4K,-5,-0.10%,7.5K
20-Jul,4.4K,213,5.10%,7.3K
20-Jun,4.2K,-566,-12%,7.5K
20-May,4.7K,-78,-1.60%,8.3K
20-Apr,4.8K,686,16.70%,8.8K
20-Mar,4.1K,455,12.40%,8.4K
20-Feb,3.7K,-306,-7.70%,7.3K
20-Jan,4.0K,873,28.20%,8.0K
19-Dec,3.1K,140,4.70%,6.4K
19-Nov,3.0K,-15,-0.50%,4.5K
19-Oct,3.0K,225,8.20%,5.9K
19-Sep,2.7K,88,3.30%,4.5K
19-Aug,2.7K,235,9.70%,5.3K
19-Jul,2.4K,-330,-12%,3.4K
19-Jun,2.8K,-95,-3.30%,3.9K
19-May,2.8K,101,3.70%,4.1K
19-Apr,2.7K,106,4%,4.0K
19-Mar,2.6K,-4,-0.20%,4.0K
19-Feb,2.6K,-372,-12.30%,4.5K
19-Jan,3.0K,652,27.60%,6.1K
18-Dec,2.4K,-4,-0.20%,3.5K
18-Nov,2.4K,176,8%,5.0K
18-Oct,2.2K,93,4.40%,3.4K
18-Sep,2.1K,117,5.90%,3.1K
18-Aug,2.0K,144,7.80%,2.8K
18-Jul,1.8K,-3,-0.20%,2.8K
18-Jun,1.8K,-96,-5%,3.3K
18-May,1.9K,-90,-4.40%,2.8K
18-Apr,2.0K,-108,-5.10%,3.9K
18-Mar,2.1K,-192,-8.20%,3.2K
18-Feb,2.3K,-57,-2.40%,3.5K
18-Jan,2.4K,497,26.30%,4.8K
17-Dec,1.9K,22,1.20%,3.2K
17-Nov,1.9K,90,5.10%,2.9K
17-Oct,1.8K,70,4.10%,2.8K
17-Sep,1.7K,12,0.70%,2.6K
17-Aug,1.7K,-54,-3.10%,2.7K
17-Jul,1.7K,151,9.40%,2.5K
17-Jun,1.6K,-62,-3.70%,2.4K
17-May,1.7K,22,1.30%,2.5K
17-Apr,1.6K,40,2.50%,2.5K
17-Mar,1.6K,-201,-11.20%,2.5K
17-Feb,1.8K,-40,-2.20%,2.8K
17-Jan,1.8K,169,10.10%,2.9K
16-Dec,1.7K,-,-,2.5K
