Month,Average,Gain,% Gain,Peak
Jan-21,224K,"94,516",73%,699K
Dec-20,130K,"-38,747",-23%,320K
Nov-20,168K,"-62,686",-27.10%,345K
20-Oct,226K,"38,062",20.30%,1.42M
20-Sep,187K,"-4,196",-2.20%,795K
20-Aug,192K,"9,710",5.30%,730K
20-Jul,182K,"-16,987",-8.50%,505K
20-Jun,199K,"27,389",16%,561K
20-May,172K,"-17,221",-9.10%,507K
20-Apr,189K,"22,589",13.60%,736K
20-Mar,166K,"-8,626",-4.90%,430K
20-Feb,175K,"40,802",30.40%,402K
20-Jan,134K,"28,209",26.70%,348K
19-Dec,106K,"-26,401",-20%,232K
19-Nov,132K,"-37,436",-22.10%,1.74M
0/2019,170K,"61,921",57.50%,1.10M
19-Sep,108K,"-7,966",-6.90%,654K
19-Aug,116K,"24,003",26.20%,463K
19-Jul,91.7K,"-32,105",-25.90%,275K
19-Jun,124K,"-14,383",-10.40%,322K
19-May,138K,"9,795",7.60%,816K
19-Apr,128K,"-17,402",-11.90%,548K
19-Mar,146K,"4,372",3.10%,377K
19-Feb,141K,"8,271",6.20%,370K
19-Jan,133K,"36,312",37.50%,400K
18-Dec,96.8K,"-20,466",-17.40%,344K
18-Nov,117K,"-29,350",-20%,1.13M
0/2018,147K,"40,318",37.90%,923K
18-Sep,106K,"-2,928",-2.70%,424K
18-Aug,109K,"7,204",7.10%,934K
18-Jul,102K,"1,433",1.40%,232K
18-Jun,101K,"-9,648",-8.70%,244K
18-May,110K,"7,111",6.90%,511K
18-Apr,103K,"-16,189",-13.60%,486K
18-Mar,119K,"-1,368",-1.10%,364K
18-Feb,121K,"1,079",0.90%,305K
18-Jan,120K,"26,117",27.90%,440K
17-Dec,93.5K,"-21,646",-18.80%,325K
17-Nov,115K,"-12,000",-9.40%,1.09M
17-Oct,127K,"23,869",23.10%,886K
17-Sep,103K,"6,556",6.80%,376K
17-Aug,96.7K,"-17,043",-15%,350K
17-Jul,114K,"-3,762",-3.20%,326K
17-Jun,118K,-824,-0.70%,281K
17-May,118K,"3,203",2.80%,648K
17-Apr,115K,"-6,890",-5.60%,488K
17-Mar,122K,"-25,783",-17.40%,326K
17-Feb,148K,"14,149",10.60%,391K
17-Jan,134K,"24,336",22.30%,378K
16-Dec,109K,-,-,334K
